AstroMenace,com.viewizard.AstroMenace,,
Astronum,com.github.alexkdeveloper.astronum,,
Asunder CD Ripper,ca.littlesvr.asunder,,
Athenaeum,com.gitlab.librebob.Athenaeum,,
ATLauncher,com.atlauncher.ATLauncher,,
Atmen,io.github.seadve.Breathing,,
Atomic Tanks,net.sourceforge.atanks,,
Atomix,org.gnome.atomix,,
Audacious,org.atheme.audacious,,
Audacity,org.audacityteam.Audacity,,
Audio Sharing,de.haeckerfelix.AudioSharing,,
AudioTube,org.kde.audiotube,,
Audok,com.github.kalibari.audok,,
Augustus,com.github.keriew.augustus,,
AusweisApp2,de.bund.ausweisapp.ausweisapp2,,
Authenticator,com.belmoussaoui.Authenticator,,
AVI MetaEdit,net.mediaarea.AVIMetaEdit,,
Aviator,net.natesales.Aviator,,
AVL Drumkits,org.freedesktop.LinuxAudio.Plugins.AVLDrums,,
AVL Drumkits,org.freedesktop.LinuxAudio.Plugins.AVLDrums,,
AVL Drumkits,org.freedesktop.LinuxAudio.Plugins.AVLDrums,,
AVL Drumkits,org.freedesktop.LinuxAudio.Plugins.AVLDrums,,
Avogadro,org.openchemistry.Avogadro2,,
Avvie,com.github.taiko2k.avvie,,
Axolotl,org.nanuc.Axolotl,,
Bada Bib!,com.github.rogercrocker.badabib,,
Banking,org.tabos.banking,,
Banner Viewer,org.gnome.design.BannerViewer,,
Barrier,com.github.debauchee.barrier,,
base,org.blackfennec.app.extensions.base,,
BaseExtension,org.freedesktop.LinuxAudio.BaseExtension,,
BaseExtension,org.freedesktop.LinuxAudio.BaseExtension,,
BaseExtension,org.freedesktop.LinuxAudio.BaseExtension,,
BasePlatform,org.freedesktop.BasePlatform,,
BaseSdk,org.freedesktop.BaseSdk,,
Basilisk II,net.cebix.basilisk,,
Battle for Wesnoth,org.wesnoth.Wesnoth,,
Battle for Wesnoth,org.wesnoth.Wesnoth,,
Battle Tanks,net.sourceforge.btanks,,
Bazel,org.freedesktop.Sdk.Extension.bazel,,
BeeRef,org.beeref.BeeRef,,
Betterbird,eu.betterbird.Betterbird,,
Beyond All Reason,info.beyondallreason.bar,,
Bible,net.lugsole.bible_gui,,
Biblereader,org.homelinuxserver.vance.biblereader,,
BibleTime,info.bibletime.BibleTime,,
BiglyBT,com.biglybt.BiglyBT,,
